Crotal;Dep;10-12-25;Estado ;30-12-25;Estado ;13-01-26;Estado;03-02-26;ESTADO;24-02-26;ESTADO;02-03-26;ESTADO;06-03-26;ESTADO
8071093;20;;;;;2,8;Cosechada;;;;;;;;
8071147;34;2,6;;2,7;;2,8;;2,9;Cosechada;;;;;;
8072129;34;2,4;;;;2,4;;;;;;;;2,9;por
8073997;61;2,9;Cosechada;;;;;;;;;;;;
8074292;20;2,6;;2,8;Cosechada;;;;;;;;;;
8251424;42;2,8;Cosechada;;;;;;;;;;;;
8251528;29;;;;;2,5;;;;3,2;BARRO;;;2,8;por
8251643;35;2,9;Cosechada;;;;;;;;;;;;
8251721;28;;;;;2,8;Cosechada;;;;;;;;
8252080;42;2,4;;;;2,5;;;;;;2,7;;2,7;
8252234;50;2,7;;2,8;Cosechada;;;;;;;;;;
8252375;29;2,5;;;;2,5;;;;;;3;Cosechada;;
8252407;22;;;;;2,8;;;;;;;;2,9;por
8252422;37;2,6;;2,7;;2,9;Cosechada;;;;;;;;
8252516;49;2,7;;2,8;Cosechada;;;;;;;;;;
8252680;35;2,8;Cosechada;;;;;;;;;;;;
8070D1D;42;2,7;;2,7;;2,8;;;;3;Cosechada;;;;
8070E0F;29;;;2,6;;;;;;3;BARRO;;;;
8071B67;33;;;;;2,5;;;;;;;;2,8;por
8071CF0;30;;;;;;;2,9;Cosechada;;;;;;
8071D05;29;;;;;2,7;;;;2,8;Cosechada;;;;
8071EFA;34;2,7;;2,8;Cosechada;;;;;;40;;;;
80721EC;42;2,5;;;;2,8;;3,1;Cosechada;;;;;;
80722C2;30;2,5;;;;2,5;;;;;;;;2,8;por
80722C9;42;2,7;;2,9;Cosechada;;;;;;;;;;
80722D7;42;;;;;2,5;;;;;;np5;;;
8073C47;49;3;Cosechada;;;;14280;;;;;;;;
8073E84;20;2,5;;;;;;;;;;;;2,9;por
8073EAC;43;;;;;2,5;;;;3;BARRO;2,9;Cosechada;;
8073ED2;43;2,6;;2,7;;2,8;Cosechada;;;;;;;;
8073EF0;43;2,6;;no rev;;2,9;Cosechada;;;;;;;;
807425E;20;;;;;2,7;;;;;;;;3;por
80A093A;37;;;;;;;2,8;Cosechada;;;;;;
80AEF71;29;2,7;;no rev;;2,9;;2,9;Cosechada;;;;;;
80AF0CE;20;2,9;Cosechada;;;;;;;;;;;;
80AF270;19;;;;;2,7;;;;;;2,8;Cosechada;;
