pit_tag	fish_id	state	lot_name	current_pond	registration_time
80B0999	40931	alive	Victoria	SO3 - Carril 3	
80B0994	40927	alive	Victoria	SO3 - Carril 3	
80B0997	40901	dead	Victoria	N/D	
80B0996	40342	alive	Rosa	NC4 - Nor-Central 4	
80B099B	34871	alive	Iberia	NC5 - Nor-central 5	
80B0992	29870	alive	Fátima	NC1 - Nor-central 1	2023-11-24 12:11:00
80B099A	29835	alive	Fátima	NC1 - Nor-central 1	2023-11-24 12:11:00
80B099E	29532	alive	Fátima	NC1 - Nor-central 1	2023-11-21 12:11:00
80B0993	28284	alive	Fátima	NP2 - Nor-poniente 2	2023-09-25 15:09:00
807389C	23891	alive	Fátima	NC3 - Nor-Central 3	2023-07-18 15:07:00
80B099F	20514	alive	Fátima	NP3 - Nor-poniente 3	2023-05-12 16:05:00
80B099F_	15146	dead	Fátima	N/D	2023-02-22 20:02:00
80B0991	14114	dead	Fátima	N/D	2023-01-18 11:01:00
80B2111-1	13459	dead	Fátima	N/D	2023-01-03 17:01:00
80AF0523	11269	dead	Fátima	N/D	2022-10-26 19:10:00
80AF4CD-1	11009	dead	Fátima	N/D	2022-10-13 20:10:00
80B0E3B-1	10999	dead	Fátima	N/D	2022-10-13 19:10:00
80B1008-1	10491	dead	Fátima	N/D	2022-08-29 16:08:00
80B2E65-1	10062	dead	Celac	N/D	2022-07-25 19:07:00
80B0990	8207	dead	Fátima	N/D	2022-04-20 13:04:00
80B099D	8206	dead	Fátima	N/D	2022-04-20 13:04:00
128619	7082	dead	Fátima	N/D	2022-03-21 20:03:00
128613	7066	dead	Fátima	N/D	2022-03-21 20:03:00
128618	7060	dead	Fátima	N/D	2022-03-21 20:03:00
128617	7058	dead	Fátima	N/D	2022-03-21 20:03:00
128616	7057	dead	Fátima	N/D	2022-03-21 20:03:00
128615	7055	dead	Fátima	N/D	2022-03-21 20:03:00
128614	7053	dead	Fátima	N/D	2022-03-21 20:03:00
128612	6713	dead	Fátima	N/D	2022-03-15 20:03:00
128611	6712	dead	Fátima	N/D	2022-03-15 20:03:00
128610	6711	dead	Fátima	N/D	2022-03-15 20:03:00
