fish_id,pit_tag,lot_id,lot,updated_at
2303,7194,1,G,2026-04-29 17:18:07
2371,810BBA9,1,G,2026-04-29 17:18:07
2634,7561,1,G,2026-04-29 17:18:07
2636,7563,1,G,2026-04-29 17:18:07
2638,7565,1,G,2026-04-29 17:18:07
2642,7569,1,G,2026-04-29 17:18:07
2646,7573,1,G,2026-04-29 17:18:07
2652,80B1E6A,1,G,2026-04-29 17:18:07
2654,7582,1,G,2026-04-29 17:18:07
2660,7588,1,G,2026-04-29 17:18:07
2702,7631,1,G,2026-04-29 17:18:07
2716,7645,1,G,2026-04-29 17:18:07
2720,7649,1,G,2026-04-29 17:18:07
2736,7665,1,G,2026-04-29 17:18:07
2738,7667,1,G,2026-04-29 17:18:07
2752,7682,1,G,2026-04-29 17:18:07
2754,7684,1,G,2026-04-29 17:18:07
2992,7893,1,G,2026-04-29 17:18:07
2995,7898,1,G,2026-04-29 17:18:07
2998,80AF372,1,G,2026-04-29 17:18:07
3014,7918,1,G,2026-04-29 17:18:07
3015,7919,1,G,2026-04-29 17:18:07
3016,7920,1,G,2026-04-29 17:18:07
3302,110928,1,G,2026-04-29 17:18:07
3303,110929,1,G,2026-04-29 17:18:07
3642,123824,1,G,2026-04-29 17:18:07
3644,123847,1,G,2026-04-29 17:18:07
3646,123849,1,G,2026-04-29 17:18:07
3648,123851,1,G,2026-04-29 17:18:07
3650,123853,1,G,2026-04-29 17:18:07
3657,123860,1,G,2026-04-29 17:18:07
3659,123863,1,G,2026-04-29 17:18:07
3660,123864,1,G,2026-04-29 17:18:07
3664,123868,1,G,2026-04-29 17:18:07
3668,123872,1,G,2026-04-29 17:18:07
3674,123879,1,G,2026-04-29 17:18:07
3681,123887,1,G,2026-04-29 17:18:07
3684,123890,1,G,2026-04-29 17:18:07
3690,80B1FD3,1,G,2026-04-29 17:18:07
3696,123902,1,G,2026-04-29 17:18:07
3698,123904,1,G,2026-04-29 17:18:07
3700,123906,1,G,2026-04-29 17:18:07
3707,123914,1,G,2026-04-29 17:18:07
3708,123915,1,G,2026-04-29 17:18:07
3716,123942,1,G,2026-04-29 17:18:07
3720,123946,1,G,2026-04-29 17:18:07
3728,80B0E4E-,1,G,2026-04-29 17:18:07
3739,123966,1,G,2026-04-29 17:18:07
3744,123971,1,G,2026-04-29 17:18:07
3748,123975,1,G,2026-04-29 17:18:07
3756,123983,1,G,2026-04-29 17:18:07
3757,123984,1,G,2026-04-29 17:18:07
3764,123991,1,G,2026-04-29 17:18:07
3766,123993,1,G,2026-04-29 17:18:07
3768,123995,1,G,2026-04-29 17:18:07
3787,124115,1,G,2026-04-29 17:18:07
3792,124120,1,G,2026-04-29 17:18:07
3794,124122,1,G,2026-04-29 17:18:07
3798,124126,1,G,2026-04-29 17:18:07
3800,124128,1,G,2026-04-29 17:18:07
3804,124132,1,G,2026-04-29 17:18:07
3805,124133,1,G,2026-04-29 17:18:07
4718,125771,3,I,2026-04-29 17:18:07
